[   84]   452.197 | 4 | 0
[   85]   457.581 | 4 | 1
[   86]   462.964 | 4 | 1
[   87]   468.347 | 4 | 1
[   88]   473.730 | 4 | 1
[   89]   479.114 | 4 | 1
[   90]   484.497 | 4 | 2
[   91]   489.880 | 4 | 2
[   92]   495.264 | 4 | 2
[   93]   500.647 | 4 | 2
[   94]   506.030 | 4 | 2
[   95]   511.414 | 4 | 3
[   96]   516.797 | 4 | 3
[   97]   522.180 | 4 | 3
[   98]   527.563 | 4 | 3
[   99]   532.947 | 4 | 3
[  100]   538.330 | 4 | 3
[  101]   543.713 | 4 | 4
[  102]   549.097 | 4 | 4
[  103]   554.480 | 4 | 4
[  104]   559.863 | 4 | 4
[  105]   565.247 | 4 | 4
[  106]   570.630 | 4 | 4
[  107]   576.013 | 4 | 5
[  108]   581.396 | 4 | 5
[  109]   586.780 | 4 | 5
[  110]   592.163 | 4 | 5
[  111]   597.546 | 4 | 5
[  112]   602.930 | 4 | 5
[  113]   608.313 | 4 | 6
[  114]   613.696 | 4 | 6
[  115]   619.080 | 4 | 6
[  116]   624.463 | 4 | 6
[  117]   629.846 | 4 | 6
[  118]   635.229 | 4 | 6
[  119]   640.613 | 4 | 6
[  120]   645.996 | 4 | 7
[  121]   651.379 | 4 | 7
[  122]   656.763 | 4 | 7
[  123]   662.146 | 4 | 7
[  124]   667.529 | 4 | 7
[  125]   672.913 | 4 | 7
[  126]   678.296 | 4 | 7
[  127]   683.679 | 4 | 8
[  128]   689.062 | 4 | 8
[  129]   694.446 | 4 | 8
[  130]   699.829 | 4 | 8
[  131]   705.212 | 4 | 8
[  132]   710.596 | 4 | 8
[  133]   715.979 | 4 | 8
[  134]   721.362 | 4 | 9
[  135]   726.746 | 4 | 9
[  136]   732.129 | 4 | 9
[  137]   737.512 | 4 | 9
[  138]   742.896 | 4 | 9
[  139]   748.279 | 4 | 9
[  140]   753.662 | 4 | 9
[  141]   759.045 | 4 | 9
[  142]   764.429 | 4 | 10
[  143]   769.812 | 4 | 10
[  144]   775.195 | 4 | 10
[  145]   780.579 | 4 | 10
[  146]   785.962 | 4 | 10
[  147]   791.345 | 4 | 10
[  148]   796.729 | 4 | 10
[  149]   802.112 | 4 | 10
[  150]   807.495 | 4 | 11
[  151]   812.878 | 4 | 11
[  152]   818.262 | 4 | 11
[  153]   823.645 | 4 | 11
[  154]   829.028 | 4 | 11
[  155]   834.412 | 4 | 11
[  156]   839.795 | 4 | 11
[  157]   845.178 | 4 | 11
[  158]   850.562 | 4 | 11
[  159]   855.945 | 5 | 0
[  160]   861.328 | 5 | 0
[  161]   866.711 | 5 | 0
[  162]   872.095 | 5 | 0
[  163]   877.478 | 5 | 0
[  164]   882.861 | 5 | 0
[  165]   888.245 | 5 | 0
[  166]   893.628 | 5 | 0
[  167]   899.011 | 5 | 0
[  168]   904.395 | 5 | 0
[  169]   909.778 | 5 | 1
[  170]   915.161 | 5 | 1
[  171]   920.544 | 5 | 1
[  172]   925.928 | 5 | 1
[  173]   931.311 | 5 | 1
[  174]   936.694 | 5 | 1
[  175]   942.078 | 5 | 1
[  176]   947.461 | 5 | 1
[  177]   952.844 | 5 | 1
[  178]   958.228 | 5 | 1
[  179]   963.611 | 5 | 2
[  180]   968.994 | 5 | 2
[  181]   974.377 | 5 | 2
[  182]   979.761 | 5 | 2
[  183]   985.144 | 5 | 2
[  184]   990.527 | 5 | 2
[  185]   995.911 | 5 | 2
[  186]  1001.294 | 5 | 2
[  187]  1006.677 | 5 | 2
[  188]  1012.061 | 5 | 2
[  189]  1017.444 | 5 | 3
[  190]  1022.827 | 5 | 3
[  191]  1028.210 | 5 | 3
[  192]  1033.594 | 5 | 3
[  193]  1038.977 | 5 | 3
[  194]  1044.360 | 5 | 3
[  195]  1049.744 | 5 | 3
[  196]  1055.127 | 5 | 3
[  197]  1060.510 | 5 | 3
